site	species	pop	x	y
PU15-65	splendida	splendida01	145.6425953	-17.36319185
PU16-110	splendida	splendida02	145.6551407	-17.41010082
PU16-87	Malanda	Malanda03	145.5932466	-17.37316056
PU16-89	Malanda	Malanda04	145.5831088	-17.38712384
PU16-90	Malanda	Malanda05	145.589435	-17.37673173
PU16-131	Malanda	Malanda06	145.5734661	-17.399956
PU16-100	Malanda	Malanda07	145.6589359	-17.39549373
PU16-101	Malanda	Malanda08	145.6579302	-17.39646915
PU16-88	Malanda	Malanda09	145.5966649	-17.39470181
PU16-86	Malanda	Malanda10	145.5713458	-17.4004615
PU15-55	splendida	splendida11	145.5995863	-16.80650006
PU16-139	splendida	splendida12	145.5011919	-17.07970947
PU15-60	eachamensis	eachamensis13	145.4763667	-17.26189058
PU16-121	eachamensis	eachamensis14	145.4906705	-17.38979235
PU16-122	eachamensis	eachamensis15	145.4955755	-17.38372176
PU16-124	eachamensis	eachamensis16	145.4854726	-17.3486422
PU16-92	splendida	splendida17	145.5578461	-17.33573116
PU15-66	eachamensis	eachamensis18	145.5999997	-17.45107192
PU16-93	eachamensis	eachamensis19	145.5382229	-17.34086408
PU17-19	eachamensis	eachamensis20	145.525928	-17.09946744
PU17-20	eachamensis	eachamensis21	145.49195	-17.3542256
PU17-21	Malanda	Malanda22	145.6579302	-17.39646915
PU15-72	utcheensis	utcheensis23	145.8917455	-17.55980619
KM082	utcheensis	utcheensis24	145.91222	-17.521545
KM093	utcheensis	utcheensis25	145.959878	-17.52044
KM086	utcheensis	utcheensis26	145.906632	-17.565007
KM096	utcheensis	utcheensis27	145.872333	-17.592509
KM092	utcheensis	utcheensis28	145.862499	-17.549832
KM091	utcheensis	utcheensis29	145.84198	-17.551823
KM083	utcheensis	utcheensis30	145.962296	-17.627894
KM085	utcheensis	utcheensis31	145.939844	-17.638724
PU17-30	utcheensis	utcheensis32	145.9222384	-17.64183712
KM023	utcheensis	utcheensis33	145.961788	-17.666097
KM084	utcheensis	utcheensis34	145.973615	-17.676552
PU15-76	splendida	splendida35	145.9260154	-18.00475683
PU15-69	Tully	Tully36	145.563874	-17.825778
PU17-29	Tully	Tully37	145.6120694	-17.5275398
PU16-118	eachamensis	eachamensis38	145.6154798	-17.59805288
