"x","y","NEXY$species","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
145.6425953,-17.36319185,"splendida",224,57,450,2392,283,157,126,234,204,251,187,2415,483,42,78,1265,152,1129,289
145.6551407,-17.41010082,"splendida",226,58,450,2454,286,158,128,237,205,254,188,3024,573,54,76,1628,198,1337,387
145.5932466,-17.37316056,"Malanda",221,60,460,2430,283,152,131,232,201,249,184,2588,534,45,79,1325,161,1246,297
145.5831088,-17.38712384,"Malanda",220,62,470,2454,283,150,133,231,200,249,183,2586,543,45,79,1306,160,1267,286
145.589435,-17.37673173,"Malanda",220,61,460,2436,283,151,132,231,200,249,183,2579,536,45,79,1312,160,1251,293
145.5734661,-17.399956,"Malanda",219,63,470,2441,282,149,133,230,199,247,182,2623,555,46,79,1311,162,1296,287
145.6589359,-17.39549373,"Malanda",222,57,450,2425,282,155,127,233,202,250,185,2988,570,54,77,1609,196,1329,376
145.6579302,-17.39646915,"Malanda",223,58,450,2416,283,155,128,233,203,251,186,2820,539,51,77,1514,185,1256,357
145.5966649,-17.39470181,"Malanda",220,61,460,2440,283,151,132,231,200,249,183,2816,578,49,78,1442,176,1349,324
145.5713458,-17.4004615,"Malanda",219,63,470,2453,283,149,134,230,199,248,182,2668,564,47,79,1333,166,1317,296
145.5995863,-16.80650006,"splendida",246,41,390,2206,295,191,104,272,226,272,214,1845,520,19,103,1187,63,1062,101
145.5011919,-17.07970947,"splendida",238,56,450,2384,297,171,126,265,218,265,201,1109,300,12,100,694,41,694,65
145.4763667,-17.26189058,"eachamensis",221,64,470,2432,285,150,135,250,201,250,184,1726,430,24,90,1004,82,1004,137
145.4906705,-17.38979235,"eachamensis",218,67,480,2487,284,144,140,247,198,247,179,2025,476,33,83,1115,112,1115,185
145.4955755,-17.38372176,"eachamensis",219,67,480,2481,285,146,139,248,199,248,181,1841,430,30,83,1007,103,1007,173
145.4854726,-17.3486422,"eachamensis",221,66,480,2456,286,148,138,250,201,250,183,1815,435,29,85,1018,98,1018,160
145.5578461,-17.33573116,"splendida",222,62,470,2439,285,152,133,250,202,250,185,2090,467,34,82,1091,119,1091,210
145.5999997,-17.45107192,"eachamensis",222,62,460,2484,285,151,134,233,201,250,184,2816,571,51,77,1445,181,1335,333
145.5382229,-17.34086408,"eachamensis",221,63,470,2447,285,151,134,250,201,250,184,2075,475,34,83,1110,118,1110,201
145.525928,-17.09946744,"eachamensis",227,55,450,2339,285,162,123,254,207,254,191,1232,326,14,98,753,47,753,79
145.49195,-17.3542256,"eachamensis",221,66,480,2456,286,148,138,250,201,250,183,1817,430,29,84,1007,99,1007,166
145.6579302,-17.39646915,"Malanda",223,58,450,2416,283,155,128,233,203,251,186,2820,539,51,77,1514,185,1256,357
145.8917455,-17.55980619,"utcheensis",256,47,390,2508,311,193,118,268,235,286,219,3880,750,72,75,2071,258,1764,469
145.91222,-17.521545,"utcheensis",259,45,380,2478,313,197,116,271,238,288,222,3594,669,66,75,1953,239,1578,460
145.959878,-17.52044,"utcheensis",261,42,370,2444,313,202,111,273,240,290,225,3999,760,72,75,2149,261,1793,496
145.906632,-17.565007,"utcheensis",257,46,390,2522,312,194,118,269,235,286,219,3894,747,72,75,2089,258,1758,473
145.872333,-17.592509,"utcheensis",252,49,400,2520,308,187,121,263,230,281,214,3967,769,73,76,2125,260,1709,481
145.862499,-17.549832,"utcheensis",258,48,400,2525,314,193,121,269,236,287,220,3308,648,63,75,1741,222,1528,398
145.84198,-17.551823,"utcheensis",256,49,400,2538,313,191,122,268,234,285,218,3205,636,61,75,1670,215,1499,381
145.962296,-17.627894,"utcheensis",260,44,380,2507,313,198,115,272,238,289,222,3405,684,60,76,1785,214,1604,403
145.939844,-17.638724,"utcheensis",258,45,390,2510,312,195,117,269,236,287,220,3871,762,69,77,2075,247,1682,462
145.9222384,-17.64183712,"utcheensis",256,47,390,2519,311,193,118,268,235,286,218,3869,768,70,77,2067,248,1795,454
145.961788,-17.666097,"utcheensis",258,44,380,2523,312,196,116,270,236,287,220,3609,723,64,78,1926,228,1687,418
145.973615,-17.676552,"utcheensis",257,44,380,2502,311,195,116,269,236,287,220,3621,753,64,78,1888,224,1757,402
145.9260154,-18.00475683,"splendida",260,55,410,2691,322,189,133,291,239,291,219,2744,684,38,91,1568,124,1568,215
145.563874,-17.825778,"Tully",221,72,480,2660,293,142,151,252,201,252,180,1880,434,30,85,1012,97,1012,158
145.6120694,-17.5275398,"Tully",220,63,460,2499,284,148,136,230,199,249,181,3160,625,59,76,1647,209,1460,382
145.6154798,-17.59805288,"eachamensis",220,65,470,2519,285,147,138,230,199,249,181,2894,558,52,76,1546,186,1301,359
