"x","y","NEXY$species","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
145.6425953,-17.36319185,"splendida",232,58,460,2445,291,167,124,255,228,260,196,2196,542,23,99,1405,73,1392,264
145.6551407,-17.41010082,"splendida",234,59,460,2489,294,168,126,258,230,263,197,2718,641,28,97,1744,91,1677,355
145.5932466,-17.37316056,"Malanda",229,61,480,2478,291,163,128,258,226,258,193,2372,597,25,101,1537,79,1537,272
145.5831088,-17.38712384,"Malanda",228,62,480,2494,290,161,129,257,225,257,191,2376,606,25,102,1558,79,1558,264
145.589435,-17.37673173,"Malanda",228,62,480,2482,290,161,129,257,225,257,192,2364,598,25,101,1540,79,1540,269
145.5734661,-17.399956,"Malanda",227,63,480,2494,290,159,131,256,224,256,190,2412,618,26,102,1588,82,1588,264
145.6589359,-17.39549373,"Malanda",230,58,470,2459,289,166,123,254,226,259,194,2696,639,28,97,1738,91,1675,345
145.6579302,-17.39646915,"Malanda",230,58,470,2456,290,166,124,254,227,259,194,2543,603,26,97,1640,85,1579,327
145.5966649,-17.39470181,"Malanda",228,62,480,2482,290,161,129,257,225,257,192,2572,644,27,100,1662,86,1662,298
145.5713458,-17.4004615,"Malanda",227,63,480,2488,290,159,131,256,224,256,191,2451,628,26,102,1612,82,1612,271
145.5995863,-16.80650006,"splendida",254,41,410,2251,302,201,101,280,248,281,222,1834,599,12,126,1395,42,1320,86
145.5011919,-17.07970947,"splendida",245,57,460,2436,304,182,122,273,242,274,210,1107,339,8,123,845,26,755,60
145.4763667,-17.26189058,"eachamensis",229,64,490,2483,293,161,132,257,226,258,192,1663,481,15,114,1203,47,1080,125
145.4906705,-17.38979235,"eachamensis",226,68,500,2520,291,155,136,254,223,255,188,1907,528,20,108,1332,61,1189,171
145.4955755,-17.38372176,"eachamensis",227,67,500,2505,293,157,136,256,225,256,190,1730,477,18,107,1203,55,1074,160
145.4854726,-17.3486422,"eachamensis",229,66,490,2532,294,159,135,257,226,258,191,1720,483,18,109,1211,54,1087,148
145.5578461,-17.33573116,"splendida",230,62,480,2477,292,163,129,258,227,259,193,1950,521,20,105,1325,62,1170,192
145.5999997,-17.45107192,"eachamensis",230,63,480,2518,292,162,130,259,227,259,192,2557,635,28,98,1633,89,1633,309
145.5382229,-17.34086408,"eachamensis",229,63,480,2488,292,161,131,258,226,258,193,1949,531,20,107,1341,62,1341,184
145.525928,-17.09946744,"eachamensis",234,56,470,2380,292,172,120,262,230,262,200,1219,368,9,122,918,29,918,71
145.49195,-17.3542256,"eachamensis",229,66,490,2521,294,159,135,257,226,258,191,1716,478,18,109,1202,54,1076,151
145.6579302,-17.39646915,"Malanda",230,58,470,2456,290,166,124,254,227,259,194,2543,603,26,97,1640,85,1579,327
145.8917455,-17.55980619,"utcheensis",264,47,410,2546,319,204,115,294,260,294,227,3464,843,37,95,2157,123,2157,432
145.91222,-17.521545,"utcheensis",267,45,400,2506,320,208,112,297,262,297,231,3194,755,34,93,1943,112,1943,420
145.959878,-17.52044,"utcheensis",269,42,390,2502,320,212,108,299,264,299,233,3566,859,38,94,2199,125,2199,453
145.906632,-17.565007,"utcheensis",265,47,410,2524,319,205,114,295,260,295,228,3472,840,37,94,2152,123,2152,436
145.872333,-17.592509,"utcheensis",260,49,420,2544,315,198,117,290,255,290,223,3537,861,38,95,2193,126,2193,444
145.862499,-17.549832,"utcheensis",266,49,420,2564,321,204,117,296,261,296,228,2957,727,33,95,1845,108,1845,367
145.84198,-17.551823,"utcheensis",264,50,420,2582,320,201,119,294,259,294,226,2868,712,32,95,1800,105,1800,351
145.962296,-17.627894,"utcheensis",268,44,400,2532,320,209,111,298,263,298,231,3049,768,31,96,1916,103,1916,372
145.939844,-17.638724,"utcheensis",266,46,410,2551,319,206,113,296,261,296,229,3456,854,35,96,2152,117,2152,426
145.9222384,-17.64183712,"utcheensis",264,47,410,2566,319,204,115,295,260,295,227,3462,859,35,96,2169,118,2169,419
145.961788,-17.666097,"utcheensis",266,45,400,2546,319,206,113,296,261,296,229,3232,810,32,97,2032,108,2032,387
145.973615,-17.676552,"utcheensis",265,45,400,2542,318,206,112,296,261,296,228,3262,843,33,98,2085,110,2085,374
145.9260154,-18.00475683,"splendida",268,56,430,2743,330,200,130,300,265,300,228,2546,746,24,113,1730,74,1730,205
145.563874,-17.825778,"Tully",230,73,500,2695,300,153,147,260,228,260,189,1737,469,19,107,1179,58,1052,150
145.6120694,-17.5275398,"Tully",228,64,480,2524,291,159,132,257,225,257,190,2845,692,31,97,1798,100,1798,355
145.6154798,-17.59805288,"eachamensis",228,66,490,2544,292,157,135,252,225,257,190,2592,616,27,96,1647,88,1610,336
